City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Severo-Kurilsk,RU,2022-08-31 16:54:41,50.6789,156.125,53.1,78,89,3.58
165,Otukpo,NG,2022-08-31 16:54:42,7.1913,8.1329,75.29,91,100,7.0
166,Bayan,CN,2022-08-31 16:54:42,46.0833,127.4,51.8,92,20,13.58
167,Coquimbo,CL,2022-08-31 16:54:43,-29.9533,-71.3436,53.33,76,100,8.05
168,Savannah Bight,HN,2022-08-31 16:54:43,16.45,-85.85,81.36,71,23,3.89
169,Khatanga,RU,2022-08-31 16:54:43,71.9667,102.5,40.6,90,99,15.9
170,Valparaiso,CL,2022-08-31 16:51:44,-33.0393,-71.6273,54.48,90,100,9.22
171,Tezu,IN,2022-08-31 16:54:44,27.9167,96.1667,75.63,95,99,2.15
172,Kula,TR,2022-08-31 16:54:44,38.5473,28.6498,75.33,60,40,13.22
173,Yar-Sale,RU,2022-08-31 16:54:44,66.8333,70.8333,45.27,67,97,8.99
174,Pudozh,RU,2022-08-31 16:54:45,61.8099,36.5345,45.18,93,100,15.84
175,Half Moon Bay,US,2022-08-31 16:54:45,37.4636,-122.4286,69.82,83,100,9.22
176,Fallon,US,2022-08-31 16:54:45,39.4735,-118.7774,87.93,21,0,6.91
177,Opuwo,NA,2022-08-31 16:54:46,-18.0607,13.84,80.96,17,33,4.9
178,Nuuk,GL,2022-08-31 16:50:51,64.1835,-51.7216,43.88,56,36,0.72
179,Yulara,AU,2022-08-31 16:54:46,-25.2406,130.9889,57.27,57,100,8.95
180,College,US,2022-08-31 16:54:46,64.8569,-147.8028,52.81,83,100,0.0
181,Mahebourg,MU,2022-08-31 16:54:47,-20.4081,57.7,68.29,83,20,5.75
182,Imbituba,BR,2022-08-31 16:54:44,-28.24,-48.6703,68.86,57,11,17.36
183,Togur,RU,2022-08-31 16:54:47,58.3631,82.8265,54.34,80,99,2.82
184,Black Diamond,US,2022-08-31 16:55:47,47.3087,-122.0032,77.0,68,71,1.99
185,Oksfjord,NO,2022-08-31 16:55:48,70.2396,22.3479,48.27,84,100,6.06
186,Xining,CN,2022-08-31 16:55:48,36.6167,101.7667,51.44,80,94,2.42
187,Mehamn,NO,2022-08-31 16:55:48,71.0357,27.8492,46.35,71,40,5.75
188,Bambanglipuro,ID,2022-08-31 16:55:49,-7.95,110.2833,75.43,92,96,7.72
189,Quesnel,CA,2022-08-31 16:55:49,52.9999,-122.5029,61.3,72,0,0.0
190,Talnakh,RU,2022-08-31 16:55:49,69.4865,88.3972,42.21,80,35,3.51
191,Puerto Ayora,EC,2022-08-31 16:55:50,-0.7393,-90.3518,76.96,87,85,8.01
192,Vila Franca Do Campo,PT,2022-08-31 16:55:50,37.7167,-25.4333,75.61,72,86,2.98
193,Ancud,CL,2022-08-31 16:55:50,-41.8697,-73.8203,50.23,70,86,7.29
194,Nueva Loja,EC,2022-08-31 16:55:51,0.0847,-76.8828,80.62,69,100,1.14
195,Kindu,CD,2022-08-31 16:55:51,-2.95,25.95,79.45,65,85,1.59
196,Niamey,NE,2022-08-31 16:55:51,13.5137,2.1098,88.09,48,20,4.61
197,Daan,CN,2022-08-31 16:55:52,33.0558,106.2958,60.78,84,100,2.53
198,Mount Gambier,AU,2022-08-31 16:55:52,-37.8333,140.7667,45.75,78,69,6.33
199,Vanino,RU,2022-08-31 16:55:52,49.0869,140.2543,56.52,89,75,2.28
