City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Veraval,IN,80.6,overcast clouds,20.9,70.3667,Lords Inn Somnath
180,Victoria,HK,84.18,overcast clouds,22.2855,114.1577,Mini Central
186,Bubaque,GW,80.71,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
187,Palu,ID,76.77,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
188,Dingle,PH,78.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
189,Sulangan,PH,83.17,broken clouds,11.1373,123.7228,Maia's Beach Resort
190,Panaba,MX,84.9,broken clouds,21.2833,-88.2667,Hotel Don Fernando
192,Padang,ID,76.96,overcast clouds,-0.9492,100.3543,Mercure Padang
195,Black River,JM,82.22,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
200,Dalbandin,PK,83.39,clear sky,28.8947,64.4101,Sanjrani House
202,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
204,Paranaiba,BR,86.05,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
209,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
210,Bastia,FR,76.3,few clouds,42.6667,9.3333,Hotel Santa Maria
212,Tecoanapa,MX,83.95,overcast clouds,16.5167,-98.75,Hotel Manglares
218,Maningrida,AU,78.85,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
222,Humaita,BR,88.05,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
226,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
231,Havelock,US,80.55,heavy intensity rain,34.8791,-76.9013,Sherwood Motel
233,Korla,CN,76.06,clear sky,41.7597,86.1469,Gulisitan Hotel
234,Mohgaon,IN,75.2,overcast clouds,21.65,78.7167,Pawan house
236,Marsh Harbour,BS,84.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
238,Ca Mau,VN,75.25,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
241,Labuan,MY,77.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
247,Kimbe,PG,87.26,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
248,Rodrigues Alves,BR,86.2,scattered clouds,-7.738,-72.6509,Pousada Aconchego
249,Ratnagiri,IN,77.5,heavy intensity rain,16.9833,73.3,Hotel Landmark
250,Sibolga,ID,75.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
251,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
262,Kibala,TD,76.06,overcast clouds,9.1104,18.3463,Prasant Hotels
268,Bemidji,US,79.18,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
270,Tukrah,LY,77.02,clear sky,32.5341,20.5791,Lagrota restaurant
271,Popondetta,PG,87.46,few clouds,-8.7537,148.2534,Timos Transit House
272,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
274,Christiansburg,US,77.2,overcast clouds,37.1298,-80.4089,Hampton Inn Christiansburg/Blacksburg
276,Dongli,CN,75.18,overcast clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
279,Jasdan,IN,79.12,overcast clouds,22.0333,71.2,આવકાર હોટલ
280,Bac Lieu,VN,76.69,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
282,Qui Nhon,VN,76.39,overcast clouds,13.7667,109.2333,Seagull Hotel
287,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
288,Sorrento,IT,77.65,clear sky,40.626,14.3744,Hilton Sorrento Palace
290,Wanning,CN,79.56,heavy intensity rain,18.8003,110.3967,Paradise Hotel
292,Timmins,CA,75.02,scattered clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
294,Conakry,GN,78.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
297,Altamira,BR,82.49,scattered clouds,-3.2033,-52.2064,Requinte Hotel
299,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
300,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
301,Rock Hill,US,85.35,clear sky,34.9249,-81.0251,DDCSVC
304,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
306,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
308,Mormugao,IN,76.26,broken clouds,15.4,73.8,Coconut Creek Resort
316,Nathdwara,IN,77.58,broken clouds,24.9333,73.8167,Hotel Sudarshan
321,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
323,Lamu,KE,75.42,few clouds,-2.2717,40.902,Lamu House
326,Atarra,IN,82.63,broken clouds,25.2833,80.5667,Akhand's _Hotel
327,Waddan,LY,77.14,clear sky,29.1614,16.139,محل الشريف محمد العايب
331,Kavieng,PG,84.29,broken clouds,-2.5744,150.7967,Nusa Island Retreat
333,Tual,ID,80.02,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
334,Mahon,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
335,Hattiesburg,US,88.29,clear sky,31.3271,-89.2903,Quality Inn & Suites
342,Katsuura,JP,79.63,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
350,Pathein,MM,75.96,overcast clouds,16.7833,94.7333,Pathein Hotel
357,Dingli,MT,78.82,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
361,Xucheng,CN,78.06,overcast clouds,20.35,110.1288,Haixing Hotel
363,Umm Lajj,SA,84.85,clear sky,25.0213,37.2685,Moon light Furnished Units
369,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
375,Conceicao Do Araguaia,BR,84.65,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
377,Sur,OM,79.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
388,Itarema,BR,77.92,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
396,Pemangkat,ID,77.02,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
399,Touros,BR,75.11,clear sky,-5.1989,-35.4608,INN NEW HORIZON
400,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Base Lodging
404,Srandakan,ID,75.2,overcast clouds,-7.9386,110.2506,Puri Brata
405,Lorengau,PG,83.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
406,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
409,Elizabeth City,US,82.0,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
412,Republic,US,82.87,few clouds,37.12,-93.4802,AmericInn by Wyndham Republic
414,Betera,ES,82.63,clear sky,39.5833,-0.45,Aparthotel Wellness
419,Aquiraz,BR,79.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
421,Itoman,JP,80.62,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
423,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
426,Nieuw Nickerie,SR,81.05,clear sky,5.95,-56.9833,Ishwardat Inn
